Transaction_ID,Date,Day,Day type,Product,Category,Quantity,Unit_Price,Total_Sales,Event
T0028,1/1/2025,Wednesday,weekday,Apples,Fruits,4,4,16,New Year Sale
T0029,1/2/2025,Thursday,weekday,Chocolate,Snacks,5,5,25,Regular Sales
T0030,1/2/2025,Thursday,weekday,Dish Wash,Household,8,5,40,Regular Sales
T0031,1/2/2025,Thursday,weekday,Tea,Beverages,1,7,7,Regular Sales
T0032,1/2/2025,Thursday,weekday,Bread,Bakery,7,2,14,Regular Sales
T0033,1/2/2025,Thursday,weekday,Face Wash,Personal Care,7,9,63,Regular Sales
T0034,1/2/2025,Thursday,weekday,Sugar,Groceries,2,6,12,Regular Sales
T0035,1/2/2025,Thursday,weekday,Fish,Meat,8,18,144,Regular Sales
T0036,1/2/2025,Thursday,weekday,Pasta,Groceries,1,8,8,Regular Sales
T0037,1/2/2025,Thursday,weekday,Pasta,Groceries,10,8,80,Regular Sales
T0038,1/2/2025,Thursday,weekday,Oranges,Fruits,4,4,16,Regular Sales
T0039,1/2/2025,Thursday,weekday,Oranges,Fruits,9,4,36,Regular Sales
T0040,1/2/2025,Thursday,weekday,Juice,Beverages,1,5,5,Regular Sales
T0041,1/2/2025,Thursday,weekday,Chicken,Meat,1,14,14,Regular Sales
T0042,1/2/2025,Thursday,weekday,Soap,Personal Care,1,4,4,Regular Sales
T0043,1/2/2025,Thursday,weekday,Butter,Dairy,7,4,28,Regular Sales
T0044,1/2/2025,Thursday,weekday,Sugar,Groceries,3,6,18,Regular Sales
T0045,1/2/2025,Thursday,weekday,Biscuits,Snacks,8,3,24,Regular Sales
T0046,1/2/2025,Thursday,weekday,Milk,Dairy,1,3,3,Regular Sales
T0047,1/2/2025,Thursday,weekday,Oranges,Fruits,5,4,20,Regular Sales
T0048,1/2/2025,Thursday,weekday,Juice,Beverages,2,5,10,Regular Sales
T0049,1/2/2025,Thursday,weekday,Coffee,Beverages,4,10,40,Regular Sales
T0050,1/2/2025,Thursday,weekday,Butter,Dairy,7,4,28,Regular Sales
T0051,1/2/2025,Thursday,weekday,Chocolate,Snacks,10,5,50,Regular Sales
T0052,1/2/2025,Thursday,weekday,Soap,Personal Care,9,4,36,Regular Sales
T0053,1/2/2025,Thursday,weekday,Yogurt,Dairy,1,3,3,Regular Sales
T0054,1/2/2025,Thursday,weekday,Juice,Beverages,4,5,20,Regular Sales
T0055,1/2/2025,Thursday,weekday,Soap,Personal Care,9,4,36,Regular Sales
T0056,1/2/2025,Thursday,weekday,Shampoo,Personal Care,5,8,40,Regular Sales
T0057,1/2/2025,Thursday,weekday,Shampoo,Personal Care,9,8,72,Regular Sales
T0058,1/2/2025,Thursday,weekday,Popcorn,Snacks,6,4,24,Regular Sales
T0059,1/2/2025,Thursday,weekday,Bread,Bakery,9,2,18,Regular Sales
T0060,1/2/2025,Thursday,weekday,Tissue Paper,Household,3,3,9,Regular Sales
T0061,1/2/2025,Thursday,weekday,Eggs,Dairy,2,5,10,Regular Sales
T0062,1/2/2025,Thursday,weekday,Oranges,Fruits,1,4,4,Regular Sales
T0063,1/2/2025,Thursday,weekday,Yogurt,Dairy,2,3,6,Regular Sales
T0064,1/2/2025,Thursday,weekday,Chicken,Meat,3,14,42,Regular Sales
T0065,1/2/2025,Thursday,weekday,Shampoo,Personal Care,4,8,32,Regular Sales
T0066,1/2/2025,Thursday,weekday,Yogurt,Dairy,5,3,15,Regular Sales
T0067,1/3/2025,Friday,weekend,Sugar,Groceries,4,6,24,Regular Sales
T0068,1/3/2025,Friday,weekend,Cooking Oil,Groceries,15,12,180,Regular Sales
T0069,1/3/2025,Friday,weekend,Soft Drink,Beverages,6,4,24,Regular Sales
T0070,1/3/2025,Friday,weekend,Chips,Snacks,3,4,12,Regular Sales
T0071,1/3/2025,Friday,weekend,Flour,Groceries,1,5,5,Regular Sales
T0072,1/3/2025,Friday,weekend,Sugar,Groceries,15,6,90,Regular Sales
T0073,1/3/2025,Friday,weekend,Milk,Dairy,9,3,27,Regular Sales
T0074,1/3/2025,Friday,weekend,Face Wash,Personal Care,3,9,27,Regular Sales
T0075,1/3/2025,Friday,weekend,Milk,Dairy,10,3,30,Regular Sales
T0076,1/3/2025,Friday,weekend,Chicken,Meat,15,14,210,Regular Sales
T0077,1/3/2025,Friday,weekend,Dish Wash,Household,15,5,75,Regular Sales
T0078,1/3/2025,Friday,weekend,Rice,Groceries,12,15,180,Regular Sales
T0079,1/3/2025,Friday,weekend,Detergent,Household,12,10,120,Regular Sales
T0080,1/3/2025,Friday,weekend,Shampoo,Personal Care,4,8,32,Regular Sales
T0081,1/3/2025,Friday,weekend,Muffin,Bakery,12,4,48,Regular Sales
T0082,1/3/2025,Friday,weekend,Chocolate,Snacks,15,5,75,Regular Sales
T0083,1/3/2025,Friday,weekend,Pasta,Groceries,15,8,120,Regular Sales
T0084,1/3/2025,Friday,weekend,Popcorn,Snacks,7,4,28,Regular Sales
T0085,1/3/2025,Friday,weekend,Toothpaste,Personal Care,6,5,30,Regular Sales
T0086,1/3/2025,Friday,weekend,Biscuits,Snacks,12,3,36,Regular Sales
T0087,1/3/2025,Friday,weekend,Rice,Groceries,6,15,90,Regular Sales
T0088,1/3/2025,Friday,weekend,Cheese,Dairy,7,6,42,Regular Sales
T0089,1/3/2025,Friday,weekend,Butter,Dairy,3,4,12,Regular Sales
T0090,1/3/2025,Friday,weekend,Apples,Fruits,13,4,52,Regular Sales
T0091,1/3/2025,Friday,weekend,Water Bottle,Beverages,9,2,18,Regular Sales
T0092,1/3/2025,Friday,weekend,Coffee,Beverages,12,10,120,Regular Sales
T0093,1/3/2025,Friday,weekend,Water Bottle,Beverages,15,2,30,Regular Sales
T0094,1/3/2025,Friday,weekend,Chicken,Meat,15,14,210,Regular Sales
T0095,1/3/2025,Friday,weekend,Sugar,Groceries,3,6,18,Regular Sales
T0096,1/3/2025,Friday,weekend,Oranges,Fruits,1,4,4,Regular Sales
T0097,1/3/2025,Friday,weekend,Cooking Oil,Groceries,7,12,84,Regular Sales
T0098,1/3/2025,Friday,weekend,Soft Drink,Beverages,3,4,12,Regular Sales
T0099,1/3/2025,Friday,weekend,Chocolate,Snacks,13,5,65,Regular Sales
T0100,1/3/2025,Friday,weekend,Chips,Snacks,4,4,16,Regular Sales
T0101,1/3/2025,Friday,weekend,Shampoo,Personal Care,3,8,24,Regular Sales
T0102,1/3/2025,Friday,weekend,Oranges,Fruits,4,4,16,Regular Sales
T0103,1/3/2025,Friday,weekend,Soft Drink,Beverages,7,4,28,Regular Sales
T0104,1/3/2025,Friday,weekend,Water Bottle,Beverages,15,2,30,Regular Sales
T0105,1/3/2025,Friday,weekend,Flour,Groceries,12,5,60,Regular Sales
T0106,1/3/2025,Friday,weekend,Cooking Oil,Groceries,13,12,156,Regular Sales
T0107,1/3/2025,Friday,weekend,Croissant,Bakery,10,3,30,Regular Sales
T0108,1/3/2025,Friday,weekend,Butter,Dairy,12,4,48,Regular Sales
T0109,1/3/2025,Friday,weekend,Cooking Oil,Groceries,4,12,48,Regular Sales
T0110,1/3/2025,Friday,weekend,Muffin,Bakery,9,4,36,Regular Sales
T0111,1/3/2025,Friday,weekend,Toothpaste,Personal Care,10,5,50,Regular Sales
T0112,1/3/2025,Friday,weekend,Juice,Beverages,7,5,35,Regular Sales
T0113,1/3/2025,Friday,weekend,Toothpaste,Personal Care,7,5,35,Regular Sales
T0114,1/3/2025,Friday,weekend,Croissant,Bakery,15,3,45,Regular Sales
T0115,1/3/2025,Friday,weekend,Pasta,Groceries,7,8,56,Regular Sales
T0116,1/3/2025,Friday,weekend,Cooking Oil,Groceries,13,12,156,Regular Sales
T0117,1/3/2025,Friday,weekend,Dish Wash,Household,1,5,5,Regular Sales
T0118,1/3/2025,Friday,weekend,Apples,Fruits,7,4,28,Regular Sales
T0119,1/3/2025,Friday,weekend,Bread,Bakery,3,2,6,Regular Sales
T0120,1/3/2025,Friday,weekend,Flour,Groceries,12,5,60,Regular Sales
T0121,1/4/2025,Saturday,weekend,Chocolate,Snacks,7,5,35,Regular Sales
T0122,1/4/2025,Saturday,weekend,Face Wash,Personal Care,1,9,9,Regular Sales
T0123,1/4/2025,Saturday,weekend,Milk,Dairy,1,3,3,Regular Sales
T0124,1/4/2025,Saturday,weekend,Chips,Snacks,13,4,52,Regular Sales
T0125,1/4/2025,Saturday,weekend,Milk,Dairy,15,3,45,Regular Sales
T0126,1/4/2025,Saturday,weekend,Water Bottle,Beverages,3,2,6,Regular Sales
T0127,1/4/2025,Saturday,weekend,Tissue Paper,Household,15,3,45,Regular Sales
T0128,1/4/2025,Saturday,weekend,Soap,Personal Care,3,4,12,Regular Sales
T0129,1/4/2025,Saturday,weekend,Soft Drink,Beverages,9,4,36,Regular Sales
T0130,1/4/2025,Saturday,weekend,Chicken,Meat,15,14,210,Regular Sales
T0131,1/4/2025,Saturday,weekend,Dish Wash,Household,3,5,15,Regular Sales
T0132,1/4/2025,Saturday,weekend,Detergent,Household,4,10,40,Regular Sales
T0133,1/4/2025,Saturday,weekend,Yogurt,Dairy,4,3,12,Regular Sales
T0134,1/4/2025,Saturday,weekend,Toothpaste,Personal Care,4,5,20,Regular Sales
T0135,1/4/2025,Saturday,weekend,Oranges,Fruits,15,4,60,Regular Sales
T0136,1/4/2025,Saturday,weekend,Toothpaste,Personal Care,13,5,65,Regular Sales
T0137,1/4/2025,Saturday,weekend,Tea,Beverages,1,7,7,Regular Sales
T0138,1/4/2025,Saturday,weekend,Tissue Paper,Household,12,3,36,Regular Sales
T0139,1/4/2025,Saturday,weekend,Cooking Oil,Groceries,10,12,120,Regular Sales
T0140,1/4/2025,Saturday,weekend,Dish Wash,Household,4,5,20,Regular Sales
T0141,1/4/2025,Saturday,weekend,Fish,Meat,4,18,72,Regular Sales
T0142,1/4/2025,Saturday,weekend,Butter,Dairy,4,4,16,Regular Sales
T0143,1/4/2025,Saturday,weekend,Chocolate,Snacks,3,5,15,Regular Sales
T0144,1/4/2025,Saturday,weekend,Butter,Dairy,4,4,16,Regular Sales
T0145,1/4/2025,Saturday,weekend,Chocolate,Snacks,3,5,15,Regular Sales
T0146,1/4/2025,Saturday,weekend,Tissue Paper,Household,1,3,3,Regular Sales
T0147,1/4/2025,Saturday,weekend,Tea,Beverages,4,7,28,Regular Sales
T0148,1/4/2025,Saturday,weekend,Chips,Snacks,7,4,28,Regular Sales
T0149,1/4/2025,Saturday,weekend,Chicken,Meat,4,14,56,Regular Sales
T0150,1/4/2025,Saturday,weekend,Pasta,Groceries,7,8,56,Regular Sales
T0151,1/4/2025,Saturday,weekend,Cheese,Dairy,15,6,90,Regular Sales
T0152,1/4/2025,Saturday,weekend,Bread,Bakery,6,2,12,Regular Sales
T0153,1/4/2025,Saturday,weekend,Shampoo,Personal Care,1,8,8,Regular Sales
T0154,1/4/2025,Saturday,weekend,Chocolate,Snacks,13,5,65,Regular Sales
T0155,1/4/2025,Saturday,weekend,Toothpaste,Personal Care,15,5,75,Regular Sales
T0156,1/4/2025,Saturday,weekend,Sugar,Groceries,13,6,78,Regular Sales
T0157,1/4/2025,Saturday,weekend,Popcorn,Snacks,6,4,24,Regular Sales
T0158,1/4/2025,Saturday,weekend,Sugar,Groceries,4,6,24,Regular Sales
T0159,1/4/2025,Saturday,weekend,Biscuits,Snacks,3,3,9,Regular Sales
T0160,1/4/2025,Saturday,weekend,Croissant,Bakery,10,3,30,Regular Sales
T0161,1/4/2025,Saturday,weekend,Toothpaste,Personal Care,4,5,20,Regular Sales
T0162,1/4/2025,Saturday,weekend,Sugar,Groceries,9,6,54,Regular Sales
T0163,1/4/2025,Saturday,weekend,Bananas,Fruits,3,2,6,Regular Sales
T0164,1/4/2025,Saturday,weekend,Chips,Snacks,3,4,12,Regular Sales
T0165,1/4/2025,Saturday,weekend,Dish Wash,Household,15,5,75,Regular Sales
T0166,1/4/2025,Saturday,weekend,Dish Wash,Household,7,5,35,Regular Sales
T0167,1/4/2025,Saturday,weekend,Apples,Fruits,15,4,60,Regular Sales
T0168,1/4/2025,Saturday,weekend,Cooking Oil,Groceries,3,12,36,Regular Sales
T0169,1/4/2025,Saturday,weekend,Yogurt,Dairy,4,3,12,Regular Sales
T0170,1/4/2025,Saturday,weekend,Water Bottle,Beverages,9,2,18,Regular Sales
T0171,1/4/2025,Saturday,weekend,Bread,Bakery,3,2,6,Regular Sales
T0172,1/4/2025,Saturday,weekend,Chocolate,Snacks,6,5,30,Regular Sales
T0173,1/4/2025,Saturday,weekend,Flour,Groceries,15,5,75,Regular Sales
T0174,1/4/2025,Saturday,weekend,Butter,Dairy,10,4,40,Regular Sales
T0175,1/4/2025,Saturday,weekend,Shampoo,Personal Care,13,8,104,Regular Sales
T0176,1/4/2025,Saturday,weekend,Soap,Personal Care,7,4,28,Regular Sales
T0177,1/4/2025,Saturday,weekend,Chocolate,Snacks,3,5,15,Regular Sales
T0178,1/4/2025,Saturday,weekend,Popcorn,Snacks,10,4,40,Regular Sales
T0179,1/5/2025,Sunday,weekend,Flour,Groceries,9,5,45,Regular Sales
T0180,1/5/2025,Sunday,weekend,Pasta,Groceries,1,8,8,Regular Sales
T0181,1/5/2025,Sunday,weekend,Muffin,Bakery,1,4,4,Regular Sales
T0182,1/5/2025,Sunday,weekend,Cooking Oil,Groceries,9,12,108,Regular Sales
T0183,1/5/2025,Sunday,weekend,Popcorn,Snacks,12,4,48,Regular Sales
T0184,1/5/2025,Sunday,weekend,Muffin,Bakery,13,4,52,Regular Sales
T0185,1/5/2025,Sunday,weekend,Cheese,Dairy,12,6,72,Regular Sales
T0186,1/5/2025,Sunday,weekend,Milk,Dairy,10,3,30,Regular Sales
T0187,1/5/2025,Sunday,weekend,Chicken,Meat,12,14,168,Regular Sales
T0188,1/5/2025,Sunday,weekend,Rice,Groceries,3,15,45,Regular Sales
T0189,1/5/2025,Sunday,weekend,Cheese,Dairy,9,6,54,Regular Sales
T0190,1/5/2025,Sunday,weekend,Toothpaste,Personal Care,15,5,75,Regular Sales
T0191,1/5/2025,Sunday,weekend,Biscuits,Snacks,1,3,3,Regular Sales
T0192,1/5/2025,Sunday,weekend,Popcorn,Snacks,13,4,52,Regular Sales
T0193,1/5/2025,Sunday,weekend,Fish,Meat,7,18,126,Regular Sales
T0194,1/5/2025,Sunday,weekend,Milk,Dairy,7,3,21,Regular Sales
T0195,1/5/2025,Sunday,weekend,Butter,Dairy,3,4,12,Regular Sales
T0196,1/5/2025,Sunday,weekend,Oranges,Fruits,7,4,28,Regular Sales
T0197,1/5/2025,Sunday,weekend,Water Bottle,Beverages,4,2,8,Regular Sales
T0198,1/5/2025,Sunday,weekend,Tea,Beverages,6,7,42,Regular Sales
T0199,1/5/2025,Sunday,weekend,Soft Drink,Beverages,9,4,36,Regular Sales
T0200,1/5/2025,Sunday,weekend,Muffin,Bakery,3,4,12,Regular Sales
T0201,1/5/2025,Sunday,weekend,Soft Drink,Beverages,1,4,4,Regular Sales
T0202,1/5/2025,Sunday,weekend,Coffee,Beverages,6,10,60,Regular Sales
T0203,1/5/2025,Sunday,weekend,Chocolate,Snacks,6,5,30,Regular Sales
T0204,1/5/2025,Sunday,weekend,Bread,Bakery,7,2,14,Regular Sales
T0205,1/5/2025,Sunday,weekend,Tissue Paper,Household,12,3,36,Regular Sales
T0206,1/5/2025,Sunday,weekend,Oranges,Fruits,6,4,24,Regular Sales
T0207,1/5/2025,Sunday,weekend,Croissant,Bakery,12,3,36,Regular Sales
T0208,1/5/2025,Sunday,weekend,Soap,Personal Care,10,4,40,Regular Sales
T0209,1/5/2025,Sunday,weekend,Rice,Groceries,10,15,150,Regular Sales
T0210,1/5/2025,Sunday,weekend,Face Wash,Personal Care,9,9,81,Regular Sales
T0211,1/5/2025,Sunday,weekend,Popcorn,Snacks,9,4,36,Regular Sales
T0212,1/5/2025,Sunday,weekend,Flour,Groceries,9,5,45,Regular Sales
T0213,1/5/2025,Sunday,weekend,Water Bottle,Beverages,7,2,14,Regular Sales
T0214,1/5/2025,Sunday,weekend,Chicken,Meat,13,14,182,Regular Sales
T0215,1/5/2025,Sunday,weekend,Pasta,Groceries,12,8,96,Regular Sales
T0216,1/5/2025,Sunday,weekend,Shampoo,Personal Care,1,8,8,Regular Sales
T0217,1/5/2025,Sunday,weekend,Toothpaste,Personal Care,6,5,30,Regular Sales
T0218,1/5/2025,Sunday,weekend,Juice,Beverages,10,5,50,Regular Sales
T0219,1/5/2025,Sunday,weekend,Cheese,Dairy,4,6,24,Regular Sales
T0220,1/5/2025,Sunday,weekend,Soap,Personal Care,9,4,36,Regular Sales
T0221,1/5/2025,Sunday,weekend,Toothpaste,Personal Care,3,5,15,Regular Sales
T0222,1/5/2025,Sunday,weekend,Oranges,Fruits,15,4,60,Regular Sales
T0223,1/5/2025,Sunday,weekend,Water Bottle,Beverages,10,2,20,Regular Sales
T0224,1/5/2025,Sunday,weekend,Biscuits,Snacks,3,3,9,Regular Sales
T0225,1/5/2025,Sunday,weekend,Bananas,Fruits,10,2,20,Regular Sales
T0226,1/5/2025,Sunday,weekend,Dish Wash,Household,1,5,5,Regular Sales
T0227,1/5/2025,Sunday,weekend,Chocolate,Snacks,10,5,50,Regular Sales
T0228,1/5/2025,Sunday,weekend,Bread,Bakery,6,2,12,Regular Sales
T0229,1/5/2025,Sunday,weekend,Apples,Fruits,12,4,48,Regular Sales
T0230,1/5/2025,Sunday,weekend,Butter,Dairy,6,4,24,Regular Sales
T0231,1/5/2025,Sunday,weekend,Butter,Dairy,9,4,36,Regular Sales
T0232,1/5/2025,Sunday,weekend,Popcorn,Snacks,4,4,16,Regular Sales
T0233,1/5/2025,Sunday,weekend,Bread,Bakery,12,2,24,Regular Sales
T0234,1/5/2025,Sunday,weekend,Water Bottle,Beverages,3,2,6,Regular Sales
T0235,1/5/2025,Sunday,weekend,Toothpaste,Personal Care,4,5,20,Regular Sales
T0236,1/5/2025,Sunday,weekend,Oranges,Fruits,4,4,16,Regular Sales
T0237,1/5/2025,Sunday,weekend,Milk,Dairy,7,3,21,Regular Sales
T0238,1/5/2025,Sunday,weekend,Cheese,Dairy,6,6,36,Regular Sales
T0239,1/5/2025,Sunday,weekend,Muffin,Bakery,1,4,4,Regular Sales
T0240,1/5/2025,Sunday,weekend,Cheese,Dairy,9,6,54,Regular Sales
T0241,1/5/2025,Sunday,weekend,Cooking Oil,Groceries,13,12,156,Regular Sales
T0242,1/5/2025,Sunday,weekend,Bread,Bakery,9,2,18,Regular Sales
T0243,1/5/2025,Sunday,weekend,Tea,Beverages,10,7,70,Regular Sales
T0244,1/5/2025,Sunday,weekend,Chips,Snacks,9,4,36,Regular Sales
T0245,1/5/2025,Sunday,weekend,Detergent,Household,3,10,30,Regular Sales
T0246,1/5/2025,Sunday,weekend,Yogurt,Dairy,13,3,39,Regular Sales
T0247,1/5/2025,Sunday,weekend,Tissue Paper,Household,12,3,36,Regular Sales
T0248,1/5/2025,Sunday,weekend,Muffin,Bakery,13,4,52,Regular Sales
T0249,1/5/2025,Sunday,weekend,Yogurt,Dairy,10,3,30,Regular Sales
T0250,1/5/2025,Sunday,weekend,Tea,Beverages,13,7,91,Regular Sales
T0251,1/5/2025,Sunday,weekend,Fish,Meat,13,18,234,Regular Sales
T0252,1/5/2025,Sunday,weekend,Milk,Dairy,10,3,30,Regular Sales
T0253,1/5/2025,Sunday,weekend,Yogurt,Dairy,3,3,9,Regular Sales
T0254,1/5/2025,Sunday,weekend,Apples,Fruits,3,4,12,Regular Sales
T0255,1/6/2025,Monday,weekday,Apples,Fruits,10,4,40,Regular Sales
T0256,1/6/2025,Monday,weekday,Shampoo,Personal Care,5,8,40,Regular Sales
T0257,1/6/2025,Monday,weekday,Sugar,Groceries,6,6,36,Regular Sales
T0258,1/6/2025,Monday,weekday,Soap,Personal Care,1,4,4,Regular Sales
T0259,1/6/2025,Monday,weekday,Bread,Bakery,5,2,10,Regular Sales
T0260,1/6/2025,Monday,weekday,Bananas,Fruits,1,2,2,Regular Sales
T0261,1/6/2025,Monday,weekday,Detergent,Household,10,10,100,Regular Sales
T0262,1/6/2025,Monday,weekday,Soap,Personal Care,5,4,20,Regular Sales
T0263,1/6/2025,Monday,weekday,Oranges,Fruits,4,4,16,Regular Sales
T0264,1/6/2025,Monday,weekday,Tea,Beverages,2,7,14,Regular Sales
T0265,1/6/2025,Monday,weekday,Popcorn,Snacks,6,4,24,Regular Sales
T0266,1/6/2025,Monday,weekday,Bread,Bakery,6,2,12,Regular Sales
T0267,1/6/2025,Monday,weekday,Muffin,Bakery,1,4,4,Regular Sales
T0268,1/6/2025,Monday,weekday,Detergent,Household,6,10,60,Regular Sales
T0269,1/6/2025,Monday,weekday,Face Wash,Personal Care,5,9,45,Regular Sales
T0270,1/6/2025,Monday,weekday,Croissant,Bakery,2,3,6,Regular Sales
T0271,1/6/2025,Monday,weekday,Face Wash,Personal Care,10,9,90,Regular Sales
T0272,1/6/2025,Monday,weekday,Bananas,Fruits,10,2,20,Regular Sales
T0273,1/6/2025,Monday,weekday,Cheese,Dairy,9,6,54,Regular Sales
T0274,1/6/2025,Monday,weekday,Butter,Dairy,7,4,28,Regular Sales
T0275,1/7/2025,Tuesday,weekday,Shampoo,Personal Care,7,8,56,Regular Sales
T0276,1/7/2025,Tuesday,weekday,Butter,Dairy,2,4,8,Regular Sales
T0277,1/7/2025,Tuesday,weekday,Eggs,Dairy,3,5,15,Regular Sales
T0278,1/7/2025,Tuesday,weekday,Popcorn,Snacks,6,4,24,Regular Sales
T0279,1/7/2025,Tuesday,weekday,Juice,Beverages,8,5,40,Regular Sales
T0280,1/7/2025,Tuesday,weekday,Cheese,Dairy,3,6,18,Regular Sales
T0281,1/7/2025,Tuesday,weekday,Chicken,Meat,4,14,56,Regular Sales
T0282,1/7/2025,Tuesday,weekday,Water Bottle,Beverages,2,2,4,Regular Sales
T0283,1/7/2025,Tuesday,weekday,Chocolate,Snacks,5,5,25,Regular Sales
T0284,1/7/2025,Tuesday,weekday,Rice,Groceries,6,15,90,Regular Sales
T0285,1/7/2025,Tuesday,weekday,Chicken,Meat,7,14,98,Regular Sales
T0286,1/7/2025,Tuesday,weekday,Eggs,Dairy,2,5,10,Regular Sales
T0287,1/7/2025,Tuesday,weekday,Dish Wash,Household,2,5,10,Regular Sales
T0288,1/7/2025,Tuesday,weekday,Juice,Beverages,7,5,35,Regular Sales
T0289,1/7/2025,Tuesday,weekday,Cheese,Dairy,3,6,18,Regular Sales
T0290,1/7/2025,Tuesday,weekday,Chocolate,Snacks,10,5,50,Regular Sales
T0291,1/7/2025,Tuesday,weekday,Dish Wash,Household,6,5,30,Regular Sales
T0292,1/7/2025,Tuesday,weekday,Chocolate,Snacks,4,5,20,Regular Sales
T0293,1/7/2025,Tuesday,weekday,Biscuits,Snacks,5,3,15,Regular Sales
T0294,1/7/2025,Tuesday,weekday,Chips,Snacks,6,4,24,Regular Sales
T0295,1/7/2025,Tuesday,weekday,Cooking Oil,Groceries,1,12,12,Regular Sales
T0296,1/7/2025,Tuesday,weekday,Face Wash,Personal Care,10,9,90,Regular Sales
T0297,1/8/2025,Wednesday,weekday,Tissue Paper,Household,2,3,6,Regular Sales
T0298,1/8/2025,Wednesday,weekday,Oranges,Fruits,7,4,28,Regular Sales
T0299,1/8/2025,Wednesday,weekday,Shampoo,Personal Care,8,8,64,Regular Sales
T0300,1/8/2025,Wednesday,weekday,Shampoo,Personal Care,3,8,24,Regular Sales
T0301,1/8/2025,Wednesday,weekday,Rice,Groceries,4,15,60,Regular Sales
T0302,1/8/2025,Wednesday,weekday,Pasta,Groceries,1,8,8,Regular Sales
T0303,1/8/2025,Wednesday,weekday,Milk,Dairy,4,3,12,Regular Sales
T0304,1/8/2025,Wednesday,weekday,Cheese,Dairy,3,6,18,Regular Sales
T0305,1/8/2025,Wednesday,weekday,Croissant,Bakery,1,3,3,Regular Sales
T0306,1/8/2025,Wednesday,weekday,Detergent,Household,1,10,10,Regular Sales
T0307,1/8/2025,Wednesday,weekday,Rice,Groceries,3,15,45,Regular Sales
T0308,1/8/2025,Wednesday,weekday,Sugar,Groceries,9,6,54,Regular Sales
T0309,1/8/2025,Wednesday,weekday,Biscuits,Snacks,4,3,12,Regular Sales
T0310,1/8/2025,Wednesday,weekday,Chips,Snacks,5,4,20,Regular Sales
T0311,1/8/2025,Wednesday,weekday,Chips,Snacks,2,4,8,Regular Sales
T0312,1/8/2025,Wednesday,weekday,Tissue Paper,Household,4,3,12,Regular Sales
T0313,1/8/2025,Wednesday,weekday,Soft Drink,Beverages,2,4,8,Regular Sales
T0314,1/8/2025,Wednesday,weekday,Water Bottle,Beverages,2,2,4,Regular Sales
T0315,1/8/2025,Wednesday,weekday,Soft Drink,Beverages,8,4,32,Regular Sales
T0316,1/8/2025,Wednesday,weekday,Cheese,Dairy,2,6,12,Regular Sales
T0317,1/8/2025,Wednesday,weekday,Soap,Personal Care,8,4,32,Regular Sales
T0318,1/8/2025,Wednesday,weekday,Shampoo,Personal Care,3,8,24,Regular Sales
T0319,1/8/2025,Wednesday,weekday,Muffin,Bakery,6,4,24,Regular Sales
T0320,1/8/2025,Wednesday,weekday,Flour,Groceries,5,5,25,Regular Sales
T0321,1/8/2025,Wednesday,weekday,Dish Wash,Household,1,5,5,Regular Sales
